Véhicule,Norme EURO,Mois,KM parcourus,Émissions CO2 (kg)
Description de VEHCUILE,Norme,1,KM PARCOURU,CO2 Emissions (kg)
Description de VEHCUILE,Norme,2,KM PARCOURU,CO2 Emissions (kg)
Description de VEHCUILE,Norme,3,KM PARCOURU,CO2 Emissions (kg)
Description de VEHCUILE,Norme,4,KM PARCOURU,CO2 Emissions (kg)
Description de VEHCUILE,Norme,5,KM PARCOURU,CO2 Emissions (kg)
Description de VEHCUILE,Norme,6,KM PARCOURU,CO2 Emissions (kg)
Description de VEHCUILE,Norme,7,KM PARCOURU,CO2 Emissions (kg)
Description de VEHCUILE,Norme,8,KM PARCOURU,CO2 Emissions (kg)
Description de VEHCUILE,Norme,9,KM PARCOURU,CO2 Emissions (kg)
Description de VEHCUILE,Norme,10,KM PARCOURU,CO2 Emissions (kg)
Description de VEHCUILE,Norme,11,KM PARCOURU,CO2 Emissions (kg)
Description de VEHCUILE,Norme,12,KM PARCOURU,CO2 Emissions (kg)
RENAULT MEX 41042-A-11,EURO 4,1,2545,381.75
RENAULT MEX 41042-A-11,EURO 4,2,0,340
RENAULT MEX 41042-A-11,EURO 4,3,0,
RENAULT MEX 41042-A-11,EURO 4,4,0,
RENAULT MEX 41042-A-11,EURO 4,5,0,
RENAULT MEX 41042-A-11,EURO 4,6,0,
RENAULT MEX 41042-A-11,EURO 4,7,0,
RENAULT MEX 41042-A-11,EURO 4,8,0,
RENAULT MEX 41042-A-11,EURO 4,9,0,
RENAULT MEX 41042-A-11,EURO 4,10,0,
RENAULT MEX 41042-A-11,EURO 4,11,0,
RENAULT MEX 41042-A-11,EURO 4,12,0,
RENAULT MEX 47509-A-11,EURO 5,1,2658,398.7
RENAULT MEX 47509-A-11,EURO 5,2,0,
RENAULT MEX 47509-A-11,EURO 5,3,0,
RENAULT MEX 47509-A-11,EURO 5,4,0,
RENAULT MEX 47509-A-11,EURO 5,5,0,
RENAULT MEX 47509-A-11,EURO 5,6,0,
RENAULT MEX 47509-A-11,EURO 5,7,0,
RENAULT MEX 47509-A-11,EURO 5,8,0,
RENAULT MEX 47509-A-11,EURO 5,9,0,
RENAULT MEX 47509-A-11,EURO 5,10,0,
RENAULT MEX 47509-A-11,EURO 5,11,0,
RENAULT MEX 47509-A-11,EURO 5,12,0,
LAND ROVER MEX 86977-H-6,EURO 6,1,7385,1225.91
LAND ROVER MEX 86977-H-6,EURO 6,2,0,
LAND ROVER MEX 86977-H-6,EURO 6,3,0,
LAND ROVER MEX 86977-H-6,EURO 6,4,0,
LAND ROVER MEX 86977-H-6,EURO 6,5,0,
LAND ROVER MEX 86977-H-6,EURO 6,6,0,
LAND ROVER MEX 86977-H-6,EURO 6,7,0,
LAND ROVER MEX 86977-H-6,EURO 6,8,0,
LAND ROVER MEX 86977-H-6,EURO 6,9,0,
LAND ROVER MEX 86977-H-6,EURO 6,10,0,
LAND ROVER MEX 86977-H-6,EURO 6,11,0,
LAND ROVER MEX 86977-H-6,EURO 6,12,0,
DACIA MEX 55162-A-11,EURO 5,1,2209,346.813
DACIA MEX 55162-A-11,EURO 5,2,0,
DACIA MEX 55162-A-11,EURO 5,3,0,
DACIA MEX 55162-A-11,EURO 5,4,0,
DACIA MEX 55162-A-11,EURO 5,5,0,
DACIA MEX 55162-A-11,EURO 5,6,0,
DACIA MEX 55162-A-11,EURO 5,7,0,
DACIA MEX 55162-A-11,EURO 5,8,0,
DACIA MEX 55162-A-11,EURO 5,9,0,
DACIA MEX 55162-A-11,EURO 5,10,0,
DACIA MEX 55162-A-11,EURO 5,11,0,
